"","text"
"1"," pakai  kali  penginapan sekrng pembayaran pakai paylaternya  perbaikan udh  sebulan udh gak  pakai "
"2"," membantu"
"3","  proses refund   kendala   update aplikasi  log in ulang  was   pesan hotel  proses refund by cs jg butuh    antrian  batas  refund  ditentukan hotel     tanggal batas  refund "
"4","biaya jasa mahal kali "
"5"," parah  refaund dibanding aplikasi sebelah refaund tiket pesawat dikasih  bentuk voucher    dpakai  maskapai yg samadalam jangka wktu   refaundnya voucher  aplikasi yg  dipakai  maskapai lainhotel    diterima beda   aplikasi sblh dlm proses refaundyg sblh  cepat prosesnyapersennya lbih   dlm bntuk tunai yg  transfer katany kebijakan maskapaitapi  diinfokan  "
"6"," pilih kursi pesawat ga sih kayany    ko ngga  ya "
"7"," tiket paylater    tulisannya  perbaikan "
"8","aplikasi ga  gagal "
"9","tolong   tiketsaya  pertamakali pesen hotel yg syaritp setidaknyamohon tolong syarat ttg masuk hotel syari  detail   ket dr  hotel bs dicantumkan ket syarat   pilih kamarkmaren mlm sabtu   chek in  oyo noor inn syariah  diblakang masjidairnya matitrus disana  peraturan wanitaankdewasahrs berhijab laki tdk beloh merokok  dibalkonkmr mandi  sputar wilayah hotel  luas  batal refund g bs"
"10","mantap  oke"
"11","mantap responsipnya adminya"
"12","pesan kamar  hotel dkaliurang  aplikasi   sesuai    bokingdikompalin   solusi   aplikasi  maupu hotelnyakurang profesional  diperbaiki lagino rcomendedkecewa berat"
"13"," pesen hotel  dikasih tipe bed twin   dinote booking via tlf   ready"
"14"," update mlah paylaterny ga  buknnya   mlh mnurun"
"15","apk   bagus  memenuhi  kebutuhan perjanan "
"16"," beli tiket ulang     habis"
"17","tanggal cek in cepat   dri  cek in melayang gitu aja uang nya hubungi  nya   solusi  suruh refund    parah"
"18","gak   pembayaran"
"19","ovo nya gak   sambung  nomornya "
"20"," refund  persulit"
"21","kemaren beli tiket pesawat pake paylater dgn tenor     keberangkatan  refund  keluarga  yg meninggaleh pas  refund  bayar tagihan yg   udah  refundmasa yg direfund    sisanya  disuruh bayar"
"22","menu nya  ribet"
"23","hati pesan hotel salah tanggal booking   solusi refund or resechedule"
"24"," pas mengajukan kreditcicilan  lengkap  persyaratan nya   balasan pengajuan ditolak  cb  tgl dibulan selanjut nya ribet gk kayak app sebelah yg gk  nunggu   utk persetujuan"
"25","sayang ga   beli tiket bioskop"
"26"," ya paylater     pakai pedahal limit  aktif  pembayaran  tersedia  bayar pakai paylater"
"27","cepat   membantu"
"28","goodsangat membantu"
"29"," pesan hotel   komenan  yg buruk  ga  pesan takut gabisa refund"
"30","maaf  kasih dulusaya  kecewa karna  paylater nya ga   pakepadahal    nunggak pembayaran cicilan"
"31","kadang  transaksi dgn  transfer  kadang  ga   bca  mandiri   ga bisanya    butuh buru  pindah k aplikasi  yg  menyediakan pilihan  transfer"
"32","tolong   filter hotel  guest house gimana  pilih hotel bintang berjaringan hyatt mercure dll  rumah orang perorangan guest housejuga muncul mengganggu "
"33"," kasih bintang  berkali daftar  paylater  gagal  sesuai petunjukperbaiki  dongmasak mencoba  x gagal"
"34","harga berubah  sesuai  aplikasi nyesel parah"
